Layer_1 5538 | Layer_2 24203 | Layer_3 75077
Epoch 00071 | Loss 1.3192 | Accuracy 0.6069 | Time : 1.2970 | loop 0.4389 | Model 0.8579 | x_y_time 0.0014 | pred 0.3241 | loss_time 0.0061
Epoch 00072 | Loss 1.3166 | Accuracy 0.6088 | Time : 1.3079 | loop 0.4414 | Model 0.8664 | x_y_time 0.0014 | pred 0.3257 | loss_time 0.0060
Epoch 00073 | Loss 1.3173 | Accuracy 0.6089 | Time : 1.3036 | loop 0.4442 | Model 0.8593 | x_y_time 0.0014 | pred 0.3270 | loss_time 0.0061
Epoch 00074 | Loss 1.3147 | Accuracy 0.6119 | Time : 1.3116 | loop 0.4430 | Model 0.8684 | x_y_time 0.0014 | pred 0.3261 | loss_time 0.0060
Epoch 00075 | Loss 1.3154 | Accuracy 0.6101 | Time : 1.3093 | loop 0.4460 | Model 0.8632 | x_y_time 0.0014 | pred 0.3278 | loss_time 0.0063
Epoch 00076 | Loss 1.3141 | Accuracy 0.6112 | Time : 1.3112 | loop 0.4425 | Model 0.8685 | x_y_time 0.0014 | pred 0.3261 | loss_time 0.0060
Epoch 00077 | Loss 1.3151 | Accuracy 0.6072 | Time : 1.3124 | loop 0.4477 | Model 0.8645 | x_y_time 0.0014 | pred 0.3301 | loss_time 0.0063
Epoch 00078 | Loss 1.3158 | Accuracy 0.6081 | Time : 1.3145 | loop 0.4447 | Model 0.8696 | x_y_time 0.0014 | pred 0.3271 | loss_time 0.0061
Epoch 00079 | Loss 1.3138 | Accuracy 0.6079 | Time : 1.3142 | loop 0.4487 | Model 0.8653 | x_y_time 0.0014 | pred 0.3305 | loss_time 0.0060
Epoch 00080 | Loss 1.3120 | Accuracy 0.6094 | Time : 1.2936 | loop 0.4434 | Model 0.8500 | x_y_time 0.0014 | pred 0.3308 | loss_time 0.0061
Epoch 00081 | Loss 1.3108 | Accuracy 0.6097 | Time : 1.3334 | loop 0.4534 | Model 0.8798 | x_y_time 0.0014 | pred 0.3331 | loss_time 0.0061
Epoch 00082 | Loss 1.3132 | Accuracy 0.6068 | Time : 1.3222 | loop 0.4474 | Model 0.8747 | x_y_time 0.0014 | pred 0.3315 | loss_time 0.0060
Epoch 00083 | Loss 1.3120 | Accuracy 0.6109 | Time : 1.3480 | loop 0.4602 | Model 0.8876 | x_y_time 0.0015 | pred 0.3360 | loss_time 0.0077
Epoch 00084 | Loss 1.3093 | Accuracy 0.6137 | Time : 1.3207 | loop 0.4468 | Model 0.8737 | x_y_time 0.0014 | pred 0.3306 | loss_time 0.0061
Epoch 00085 | Loss 1.3115 | Accuracy 0.6096 | Time : 1.3478 | loop 0.4615 | Model 0.8861 | x_y_time 0.0015 | pred 0.3363 | loss_time 0.0061
Epoch 00086 | Loss 1.3104 | Accuracy 0.6102 | Time : 1.3234 | loop 0.4470 | Model 0.8763 | x_y_time 0.0014 | pred 0.3301 | loss_time 0.0060
Epoch 00087 | Loss 1.3126 | Accuracy 0.6073 | Time : 1.3377 | loop 0.4565 | Model 0.8811 | x_y_time 0.0015 | pred 0.3335 | loss_time 0.0060
Epoch 00088 | Loss 1.3097 | Accuracy 0.6126 | Time : 1.3253 | loop 0.4491 | Model 0.8760 | x_y_time 0.0014 | pred 0.3306 | loss_time 0.0061
Epoch 00089 | Loss 1.3099 | Accuracy 0.6107 | Time : 1.3295 | loop 0.4509 | Model 0.8785 | x_y_time 0.0014 | pred 0.3316 | loss_time 0.0061
Epoch 00090 | Loss 1.3083 | Accuracy 0.6130 | Time : 1.3194 | loop 0.4463 | Model 0.8730 | x_y_time 0.0014 | pred 0.3289 | loss_time 0.0062
Epoch 00091 | Loss 1.3074 | Accuracy 0.6099 | Time : 1.3271 | loop 0.4508 | Model 0.8762 | x_y_time 0.0015 | pred 0.3318 | loss_time 0.0061
Epoch 00092 | Loss 1.3040 | Accuracy 0.6103 | Time : 1.3242 | loop 0.4482 | Model 0.8759 | x_y_time 0.0014 | pred 0.3304 | loss_time 0.0061
Epoch 00093 | Loss 1.3071 | Accuracy 0.6111 | Time : 1.3399 | loop 0.4551 | Model 0.8846 | x_y_time 0.0015 | pred 0.3344 | loss_time 0.0061
Epoch 00094 | Loss 1.3080 | Accuracy 0.6088 | Time : 1.3262 | loop 0.4497 | Model 0.8764 | x_y_time 0.0014 | pred 0.3312 | loss_time 0.0061
Epoch 00095 | Loss 1.3090 | Accuracy 0.6102 | Time : 1.3394 | loop 0.4544 | Model 0.8848 | x_y_time 0.0014 | pred 0.3335 | loss_time 0.0060
Epoch 00096 | Loss 1.3034 | Accuracy 0.6089 | Time : 1.3224 | loop 0.4469 | Model 0.8753 | x_y_time 0.0014 | pred 0.3302 | loss_time 0.0061
Epoch 00097 | Loss 1.3067 | Accuracy 0.6110 | Time : 1.3406 | loop 0.4537 | Model 0.8867 | x_y_time 0.0014 | pred 0.3348 | loss_time 0.0062
Epoch 00098 | Loss 1.3053 | Accuracy 0.6120 | Time : 1.3296 | loop 0.4512 | Model 0.8783 | x_y_time 0.0014 | pred 0.3311 | loss_time 0.0062
Epoch 00099 | Loss 1.3068 | Accuracy 0.6092 | Time : 1.3310 | loop 0.4500 | Model 0.8808 | x_y_time 0.0014 | pred 0.3320 | loss_time 0.0062
total for loop time, total model time, total loss time, total_training_time
44.8199, 88.1634, 0.6165, 132.9984
Test Accuracy 0.5588
